aback,taken by surprise or caught off guard,,,,,,,,,,,
album,a blank book for the insertion of photographs, stamps, or pictures.,,,,,,,,,
alder,a tree of a genus that includes alders and hornbeams.,,,,,,,,,,,
aleph,the first letter of the Hebrew alphabet.,,,,,,,,,,,
alert,quick to notice any unusual and potentially dangerous or difficult circumstances; vigilant.,,,,,,,,,,,
algae,a simple nonflowering plant of a large group that includes the seaweeds and many single-celled forms.,,,,,,,,,,,
algal,relating to, containing, or consisting of algae.,,,,,,,,,
alias,a false or assumed identity.,,,,,,,,,,,
alibi,a claim or piece of evidence that one was elsewhere when an act, typically a criminal one, is alleged to have taken place.,,,,,,,,,
alien,belonging to a foreign country or nation.,,,,,,,,,,,
align,arrange in a line or bring into alignment.,,,,,,,,,,,
alike,of similar qualities or character; similar to.,,,,,,,,,,,
alive,alive.,,,,,,,,,,,
alkyd,a synthetic resin used in paints and inks, especially one based on polyesters.,,,,,,,,,,
alkyl,any of a series of univalent groups of the general formula CnH2n+1, including methyl, ethyl, propyl, and butyl.,,,,,,,
allay,diminish or put at rest (fear, suspicion, or worry).,,,,,,,,,
alley,a narrow street or passageway, especially one through the middle of a block giving access to the rear of lots or buildings.,,,,,,,,,,
allot,give or apportion (something) to someone as a share or task.,,,,,,,,,,,
allow,permit; let.,,,,,,,,,,,
alloy,a metal made by combining two or more metallic elements, especially to give greater strength or resistance to corrosion.,,,,,,,,,,
allyl,a colorless volatile liquid obtained by the destructive distillation of garlic mustard and horseradish oil.,,,,,,,,,,,
aloes,a succulent plant with spiny leaves and clusters of yellow, tubular flowers.,,,,,,,,,,
aloft,up in or into the air; overhead.,,,,,,,,,,,
aloha,a Hawaiian greeting or farewell.,,,,,,,,,,,
alone,isolated or without companions.,,,,,,,,,,,
along,in a line parallel to; by the length of.,,,,,,,,,,,
aloof,not friendly or forthcoming; cool and distant.,,,,,,,,,,,
aloud,audible to the ear; not silently or in a whisper.,,,,,,,,,,,
alpha,the first letter of the Greek alphabet.,,,,,,,,,,,
altar,the table in a Christian church at which the bread and wine are consecrated in communion services.,,,,,,,,,,,
alter,change or cause to change in character or composition, typically in a comparatively small but significant way.,,,,,,,,,,
altos,the highest adult male singing voice; countertenor.,,,,,,,,,,,
alums,informal term for a graduate or former student, especially male, of a school, college, or university.,,,,,,,
amass,gather together or accumulate (a large amount or number of material or things) over a period of time.,,,,,,,,,,,
amaze,cause (someone) to be filled with wonder or astonishment.,,,,,,,,,,,
amber,a hard translucent fossilized resin produced by extinct coniferous trees of the Tertiary period, typically yellowish in color.,,,,,,,,,,
ambit,the scope, extent, or bounds of something.,,,,,,,,,
amble,to walk or move at a slow, relaxed pace.,,,,,,,,,,
ambos,a metallic clanging sound; a clanging sound made by a hammer.,,,,,,,,,,,
amend,to make minor changes in (a text) in order to make it fairer, more accurate, or more up-to-date.,,,,,,,,,
amide,any compound derived from ammonia by substitution of one or more hydrogen atoms with organic groups.,,,,,,,,,,,
amine,an organic compound derived from ammonia by replacement of one or more hydrogen atoms by organic groups.,,,,,,,,,,,
amino,relating to or containing an amino group.,,,,,,,,,,,
amiss,not quite right; inappropriate or out of place.,,,,,,,,,,,
amity,a friendly relationship.,,,,,,,,,,,
amnio,short for amniocentesis.,,,,,,,,,,,
among,surrounded by; in the company of.,,,,,,,,,,,
amour,a secret love affair.,,,,,,,,,,,
amped,excited or wired.,,,,,,,,,,,
ample,enough or more than enough; plentiful.,,,,,,,,,,,
amply,in a way that is more than adequate.,,,,,,,,,,,
amuse,provide interesting and enjoyable occupation for (someone).,,,,,,,,,,,
ancho,a dried and smoked poblano chili pepper.,,,,,,,,,,,
angel,a spiritual being believed to act as an attendant, agent, or messenger of God.,,,,,,,,,
anger,a strong feeling of annoyance, displeasure, or hostility.,,,,,,,,,
angle,a space, figure, or shape formed by two straight lines or planes diverging from each other.,,,,,,,,,
angry,having a strong feeling of or showing annoyance, displeasure, or hostility.,,,,,,,,,
angst,a feeling of deep anxiety or dread, typically an unfocused one about the human condition or the state of the world in general.,,,,,,,,,,
anima,the part of the psyche that is directed inward, that is, the personality that is hidden from the outside world.,,,,,,,,,
anime,a style of Japanese film and television animation, typically aimed at adults as well as children.,,,,,,,,,,
anion,a negatively charged ion, i.e., one that would be attracted to the anode in electrolysis.,,,,,,,,,
anise,an aromatic Mediterranean plant of the parsley family, the seeds of which are used as a spice.,,,,,,,,,,
ankle,the joint connecting the foot with the leg; the part of the leg just above the foot.,,,,,,,,,,,
annas,an Indian money of account, formerly used in Hyderabad and elsewhere.,,,,,,,,,,
annex,append or add as an extra or subordinate part, especially to a document.,,,,,,,,,,
annoy,irritate (someone); make (someone) a little angry.,,,,,,,,,,,
annul,declare invalid (an official agreement, decision, or result).,,,,,,,,,
anode,a positively charged electrode by which electrons leave an electrical device.,,,,,,,,,,,
anole,a small tropical American lizard with the ability to change the color of its skin.,,,,,,,,,,,
antic,playful, funny, or absurd act or gesture.,,,,,,,,,
antis,opposed to; against.,,,,,,,,,,,
antsy,unable to sit still or remain calm due to nervousness or excitement.,,,,,,,,,,,
anvil,a heavy steel or iron block with a flat top, concave sides, and typically a pointed end, on which metal can be hammered and shaped.,,,,,,,,
aorta,the main artery of the body, supplying oxygenated blood to the circulatory system.,,,,,,,,,,
apace,swiftly; quickly.,,,,,,,,,,,
apart,(of two or more people or things) separated by a distance; at a specified distance from each other in time or space.,,,,,,,,,,,
aphid,a minute bug that feeds by sucking sap from plants and causes the leaves or other parts to be covered with honeydew and sometimes to form galls.,,,,,,,,,,,
apnea,temporary cessation of breathing, especially during sleep.,,,,,,,,,,
apple,the round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh.,,,,,,,,,,
apply,make a formal application or request.,,,,,,,,,,,
apron,a protective garment worn over the front of one's clothes and tied around the back, worn especially during cooking to keep clothes clean.,,,,,,,,,,
apses,the more pointed of the two ends of the elliptical or occasionally circular orbit of a celestial body.,,,,,,,,,,,
apter,(of a statement, idea, or proposal) appropriate or suitable in the circumstances.,,,,,,,,,
aptly,in a manner that is appropriate or suitable in the circumstances.,,,,,,,,,,,
aquas,of or relating to water.,,,,,,,,,,,
arbor,a shady garden alcove with sides and a roof formed by trees or climbing plants trained over a wooden framework.,,,,,,,,,,,
ardor,enthusiasm or passion.,,,,,,,,,,,
areal,relating to or characteristic of an area.,,,,,,,,,,,
areas,a region or part of a town, a country, or the world.,,,,,,,,,
areca,a palm tree that is native to tropical Asia and widely grown as an ornamental in other tropical regions.,,,,,,,,,,,
arena,a level area surrounded by seats for spectators, in which sports, entertainments, and other public events are held.,,,,,,,,
argon,the chemical element of atomic number 18, an inert gaseous element of the noble gas group.,,,,,,,,,,
argot,the jargon or slang of a particular group or class.,,,,,,,,,,,
argue,give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view.,,,,,,,,
argus,a giant with a hundred eyes, kept by Hera to guard Io.,,,,,,,,,,
arias,a long, accompanied song for a solo voice, typically one in an opera or oratorio.,,,,,,,,,
arils,a fleshy fruit that contains seeds and is covered by a juicy layer, such as in pomegranates.,,,,,,,,,,
arise,(of a problem, opportunity, or situation) emerge; become apparent.,,,,,,,,,
armed,(of a person or organization) equipped with or carrying weapons as a defense against attack.,,,,,,,,,,,
armor,protective clothing worn by soldiers or warriors to protect themselves from being wounded in battle.,,,,,,,,,,,
aroma,a distinctive, typically pleasant smell.,,,,,,,,,,
arose,come into existence or action in a particular situation.,,,,,,,,,,,
array,an impressive display or range of a particular type of thing.,,,,,,,,,,,
arrow,a shaft sharpened at the front and with feathers or vanes at the back, shot from a bow as a weapon or for sport.,,,,,,,,,,
arses,plural of arse.,,,,,,,,,,,
arson,the criminal act of deliberately setting fire to property.,,,,,,,,,,,
artsy,showing an interest in the arts.,,,,,,,,,,,
asana,a posture adopted in performing hatha yoga.,,,,,,,,,,,
ascot,a wide scarf arranged in a loop beneath the chin, with the ends tucked into the neckband of a shirt or worn outside the collar of a shirt or jacket.,,,,,,,,,,
ashen,of the pale gray color of ash.,,,,,,,,,,,
ashes,the powdery residue left after the burning of a substance.,,,,,,,,,,,
aside,to one side; out of the way.,,,,,,,,,,,
asked,say something in order to obtain an answer or some information.,,,,,,,,,,,
asker,a person who asks a question or seeks information.,,,,,,,,,,,
askew,not in a straight or level position.,,,,,,,,,,,
aspen,a poplar tree with rounded, long-stalked, and typically coarsely toothed leaves that tremble in even a slight breeze.,,,,,,,,,
aspic,a savory jelly containing pieces of meat or seafood that is set in a mold and used to garnish cold meat or to make a savory dish.,,,,,,,,,,,
assay,the testing of a metal or ore to determine its ingredients and quality.,,,,,,,,,,,
asses,plural of ass.,,,,,,,,,,,
asset,a useful or valuable thing, person, or quality.,,,,,,,,,
aster,a plant of the daisy family that bears bright yellow or orange flowers.,,,,,,,,,,,
astir,in a state of excited movement.,,,,,,,,,,,
asura,a demon or evil spirit of Hindu mythology.,,,,,,,,,,,
atlas,a book of maps or charts.,,,,,,,,,,,
atman,(the) the spiritual life principle of the universe especially when regarded as inherent in the real self of the individual.,,,,,,,,,,,
atoll,a ring-shaped reef, island, or chain of islands formed of coral.,,,,,,,,,
atoms,the basic unit of a chemical element.,,,,,,,,,,,
atone,make amends or reparation.,,,,,,,,,,,
atopy,a genetic tendency to develop allergic diseases, such as hay fever, asthma, and atopic dermatitis.,,,,,,,,
attic,a space or room just below the roof of a building.,,,,,,,,,,,
audio,sound, especially when recorded, transmitted, or reproduced.,,,,,,,,
audit,an official inspection of an individual's or organization's accounts, typically by an independent body.,,,,,,,,,,
auger,a tool with a helical bit for boring holes in wood.,,,,,,,,,,,
aught,anything.,,,,,,,,,,,
augur,(in ancient Rome) a religious official who observed natural signs, especially the behavior of birds, interpreting these as an indication of divine approval or disapproval of a proposed action.,,,,,,,,,
aunts,the sister of one's father or mother or the wife of one's uncle.,,,,,,,,,,,
aunty,aunt.,,,,,,,,,,,
aural,relating to the sense of hearing.,,,,,,,,,,,
auras,the distinctive atmosphere or quality that seems to surround and be generated by a person, thing, or place.,,,,,,,,,
autos,short for automobile.,,,,,,,,,,,
auxin,a plant hormone that causes the elongation of cells in shoots and is involved in regulating plant growth.,,,,,,,,,,,
avail,use or take advantage of (an opportunity or available resource).,,,,,,,,,,,
avers,affirm or assert.,,,,,,,,,,,
avert,turn away (one's eyes or thoughts).,,,,,,,,,,,
avian,of, relating to, or resembling birds.,,,,,,,,,
avoid,keep away from or stop oneself from doing (something).,,,,,,,,,,,
avows,assert or confess openly.,,,,,,,,,,,
await,wait for (an event).,,,,,,,,,,,
awake,stop sleeping; wake from sleep.,,,,,,,,,,,
award,give or order the giving of (something) as an official payment, compensation, or prize to (someone).,,,,,,,,,
aware,having knowledge or perception of a situation or fact.,,,,,,,,,,,
awash,covered or flooded with water, especially seawater or rain.,,,,,,,,,,
awful,very bad or unpleasant.,,,,,,,,,,,
awoke,stop sleeping; wake from sleep.,,,,,,,,,,,
axels,short for axles.,,,,,,,,,,,
axial,of, forming, or relating to an axis.,,,,,,,,,
axils,the angle between the upper side of a leaf or stem and the supporting stem or branch.,,,,,,,,,,,
axing,use an ax to shape, split, or sever (wood).,,,,,,,,,
axiom,a statement or proposition that is regarded as being established, accepted, or self-evidently true.,,,,,,,,,
axion,a hypothetical elementary particle postulated to explain why certain processes are not symmetric with respect to the direction of time.,,,,,,,,,,,
axles,a rod or spindle (either fixed or rotating) passing through the center of a wheel or group of wheels.,,,,,,,,,,,
axons,the long threadlike part of a nerve cell along which impulses are conducted from the cell body to other cells.,,,,,,,,,,,
azide,any organic compound in which the azido group N3 is bound to a carbon or nitrogen atom.,,,,,,,,,,,
azole,an organic compound containing a five-membered heterocyclic ring with at least one nitrogen atom.,,,,,,,,,,,
azure,a bright blue color.,,,,,,,,,,,
babel,a confused noise, typically that made by a number of voices.,,,,,,,,,,
babes,a young child.,,,,,,,,,,,
babka,a type of sweet yeast cake or bread that originated in the Jewish communities of Poland and Ukraine.,,,,,,,,,,,
backs,the rear surface of the human body from the shoulders to the hips.,,,,,,,,,,,
bacon,cured meat from the back or sides of a pig.,,,,,,,,,,,
baddy,a villain or bad character in a book, film, or play.,,,,,,,,,
badge,a distinctive emblem worn as a mark of office, membership, achievement, licensed employment, etc.,,,,,,,
badly,in a severe or harmful way.,,,,,,,,,,,
bagel,a dense, chewy, doughnut-shaped roll, typically of yeast-leavened dough, glazed and salted, and with the usual toppings of poppy seeds or sesame seeds baked on it.,,,,,,
baggy,loose or puffed out, as though inflated.,,,,,,,,,,
bails,pay someone's bail.,,,,,,,,,,,
bairn,a Scottish or Northern English word for a child.,,,,,,,,,,,
baits,food used to entice fish or other animals as prey.,,,,,,,,,,,
baize,a coarse, felt-like, woolen material that is typically green, used for covering billiard and card tables and for aprons.,,,,,,,,
baked,(of food) cooked by dry heat in an oven.,,,,,,,,,,,
baker,a person who makes bread and cakes, especially commercially.,,,,,,,,,,
bakes,cook (food) by dry heat without direct exposure to a flame, typically in an oven or on a hot surface.,,,,,,,,,,
baldy,old-fashioned term for a bald person.,,,,,,,,,,,
baled,tie up (hay, straw, or similar material) in a bale.,,,,,,,,,
baler,a person or machine that bales something, especially hay.,,,,,,,,,,
bales,a large bundle bound for storage or transport.,,,,,,,,,,,
balks,hesitate or be unwilling to accept an idea or undertaking.,,,,,,,,,,,
balky,reluctant to proceed or comply.,,,,,,,,,,,
balls,a solid or hollow spherical or egg-shaped object that is kicked, thrown, or hit in a game.,,,,,,,,,
balms,a fragrant cream or liquid used to heal or soothe the skin.,,,,,,,,,,,
balmy,(of the weather) pleasantly warm.,,,,,,,,,,,
balsa,a kind of light wood that comes from tropical America and is used for making models and rafts.,,,,,,,,,,,
banal,so lacking in originality as to be obvious and boring.,,,,,,,,,,,
bands,a flat, thin strip or loop of material put around something, typically to hold it together or to decorate it.,,,,,,,,,
bandy,exchange (words) heatedly.,,,,,,,,,,,
banes,a cause of great distress or annoyance.,,,,,,,,,,,
bangs,a fringe of hair cut straight across the forehead.,,,,,,,,,,,
banjo,a stringed musical instrument with a long neck and a circular drumlike body.,,,,,,,,,,,
banks,the land alongside or sloping down to a river or lake.,,,,,,,,,,,
barbs,a sharp projection near the end of an arrow, fishhook, or similar item, angled away from the main point so as to make extraction difficult.,,,,,,,,
bards,a poet, traditionally one reciting epics and associated with a particular oral tradition.,,,,,,,,,,
bared,uncover (a part of the body or other thing) and expose it to view.,,,,,,,,,,,
barer,(of a place or landscape) bleak and unattractive because of lack of vegetation or architectural features.,,,,,,,,,,,
bares,uncover (a part of the body or other thing) and expose it to view.,,,,,,,,,,,
barge,(of a person or animal) move forcefully or roughly.,,,,,,,,,,,
barks,make a characteristic short, loud sound.,,,,,,,,,,
barmy,foolish; crazy.,,,,,,,,,,,
barns,a large farm building used for storing grain, hay, or straw or for housing livestock.,,,,,,,,,
baron,a member of the lowest order of the British nobility.,,,,,,,,,,,
barre,short for barre class, a form of exercise performed in a ballet studio, in which movements derived from ballet are performed while holding onto a horizontal bar fixed to the wall.,,,,,,,,,
basal,forming or belonging to a bottom layer or base.,,,,,,,,,,,
based,(having one's main area of activity in (a particular place or function).,,,,,,,,,,,
baser,(of a person or a person's actions or feelings) without moral principles; ignoble.,,,,,,,,,,,
bases,the lowest part or edge of something, especially the part on which it rests or is supported.,,,,,,,,,,
basic,forming an essential foundation or starting point; fundamental.,,,,,,,,,,,
basil,a plant of the mint family, native to tropical regions.,,,,,,,,,,
basin,a bowl for washing, typically attached to a wall and having faucets connected to a water supply; a washbasin.,,,,,,,,,,
basis,the underlying support or foundation for an idea, argument, or process.,,,,,,,,,
basks,(of a person or warm-blooded animal) lie exposed to warmth and light, typically from the sun, for relaxation and pleasure.,,,,,,,,,
basso,the lowest adult male singing voice.,,,,,,,,,,,
bassy,(of sound or music) having strong bass frequencies.,,,,,,,,,,,
baste,(of a cook) pour juices or melted fat over (meat) during cooking in order to keep it moist.,,,,,,,,,,,
batch,a quantity or consignment of goods produced at one time.,,,,,,,,,,,
bated,(of breath) in a state of abated breath, with bated breath.,,,,,,,,,,
bathe,wash (someone) while immersing them in a container of water.,,,,,,,,,,,
baths,a large container for holding water in which a person may bathe.,,,,,,,,,,,
batik,a method (originally used in Java) of producing colored designs on textiles by dyeing them, having first applied wax to the parts to be left undyed.,,,,,,,,,,
baton,a thin stick used by a conductor to direct an orchestra or choir.,,,,,,,,,,,
batts,strips of wood or other material used for cladding the exterior walls of buildings.,,,,,,,,,,,
batty,(of a person or their actions) foolish; crazy.,,,,,,,,,,,
bawls,(of a person, typically a child) cry or sob loudly.,,,,,,,,,,
bayed,(of an animal, especially a dog) bark or howl loudly.,,,,,,,,,,
bayou,a marshy outlet of a lake or river.,,,,,,,,,,,
beach,a pebbly or sandy shore, especially by the ocean between high- and low-water marks.,,,,,,,,,,
beads,a small piece of glass, stone, or similar material, typically rounded and perforated for threading with others as a necklace or rosary or for sewing onto fabric.,,,,,,,,
beady,small, round, and gleaming.,,,,,,,,,
beaks,a bird's horny projecting jaws; a beaklike mouthpart or structure in other animals, especially one that is strong, elongated, and used for gathering food or striking.,,,,,,,,
beams,a long, sturdy piece of squared timber or metal spanning an opening or part of a building, usually to support the roof or floor above.,,,,,,,,,
beamy,broad in the beam.,,,,,,,,,,,
beans,a seed of various climbing plants, especially the scarlet runner bean, the kidney bean, and the broad bean, used for food.,,,,,,,
beard,a growth of hair on the chin and lower cheeks of a man's face.,,,,,,,,,,,
bears,(of a person) carry.,,,,,,,,,,,
beast,an animal, especially a large or dangerous four-footed one.,,,,,,,,,,
beats,strike (a person or an animal) repeatedly and violently so as to hurt or injure them.,,,,,,,,,,,
beaus,a boyfriend or male admirer.,,,,,,,,,,,
beaut,(informal) a beautiful person or thing.,,,,,,,,,,,
beaux,(plural of beau) a boyfriend or male admirer.,,,,,,,,,,,
bebop,a style of jazz characterized by fast tempo, instrumental virtuosity, and improvisation based on the combination of harmonic structure and melody.,,,,,,,,,
becks,a stream or small river.,,,,,,,,,,,
beech,a large tree with smooth gray bark, glossy leaves, and hard, pale fine-grained timber. It typically has a modified winged fruit that is often used for beekeeping, and typically grows in lowland woods.,,,,,,,
beefs,complaints or disagreements.,,,,,,,,,,,
beefy,(of a person) strong and heavily built.,,,,,,,,,,,
beeps,a short, high-pitched sound emitted by electronic equipment or in Morse code as a signal or warning.,,,,,,,,,,
beers,a fermented alcoholic beverage brewed from malt and flavored with hops.,,,,,,,,,,,
beery,(of a person) smelling or tasting of beer.,,,,,,,,,,,
beets,a herbaceous plant widely cultivated as a source of food for humans and livestock, and for processing into sugar.,,,,,,,,,,
befit,be appropriate for; suit.,,,,,,,,,,,
began,begin (past tense).,,,,,,,,,,,
beget,(typically of a man, sometimes of a man and a woman) bring (a child) into existence by the process of reproduction.,,,,,,,,,,
begin,start; perform or undergo the first part of (an action or activity).,,,,,,,,,,,
begun,(of a person) start (past tense).,,,,,,,,,,,
beige,a pale sandy yellowish-brown color.,,,,,,,,,,,
being,the nature or essence of a person.,,,,,,,,,,,
belay,fix (a rope) securely.,,,,,,,,,,,
belch,emit gas noisily from the stomach through the mouth.,,,,,,,,,,,
belie,(of an appearance) fail to give a true impression of (something).,,,,,,,,,,,
belle,a beautiful girl or woman, especially the most beautiful at a particular event or in a particular group.,,,,,,,,,,
bells,a hollow object, typically made of metal and having the shape of a deep inverted cup widening at the lip, that sounds a clear musical note when struck, typically by means of a clapper inside.,,,,,,,,
belly,the front part of the human trunk below the ribs, containing the stomach and bowels.,,,,,,,,,,
below,at a lower level than.,,,,,,,,,,,
belts,a strip of leather or other material worn, typically round the waist, to support or hold in clothes or to carry weapons.,,,,,,,,,
bench,a long seat for several people, typically made of wood or stone.,,,,,,,,,,
bends,shape or force (something straight) into a curve or angle.,,,,,,,,,,,
bendy,flexible; easily bent.,,,,,,,,,,,
bento,a Japanese meal served in a box.,,,,,,,,,,,
bents,a natural talent or inclination.,,,,,,,,,,,
beret,a round flattish cap of felt or cloth.,,,,,,,,,,,
bergs,a large floating mass of ice detached from a glacier or ice sheet and carried out to sea.,,,,,,,,,,,
berms,a flat strip of land, raised bank, or terrace bordering a river or canal.,,,,,,,,,
berry,a small, roundish juicy fruit without a stone.,,,,,,,,,,
berth,a ship's allotted place at a wharf or dock.,,,,,,,,,,,
beryl,a mineral of variable color, often green or bluish-green, consisting of a silicate of beryllium and aluminum.,,,,,,,,,
beset,(of a problem or difficulty) trouble or threaten persistently.,,,,,,,,,,,
bests,defeat or beat (someone) in a game or contest.,,,,,,,,,,,
betas,a software version released for testing before the final version.,,,,,,,,,,,
betel,a tropical Asian pepper plant whose dried and powdered aromatic leaves are chewed with betel nut.,,,,,,,,,,,
bible,the Christian scriptures, consisting of the 66 books of the Old and New Testaments.,,,,,,,,,,
bicep,a large muscle that lies on the front of the upper arm between the shoulder and the elbow.,,,,,,,,,,,
biddy,a chicken.,,,,,,,,,,,
bided,past tense of bide.,,,,,,,,,,,
bides,remain or stay somewhere.,,,,,,,,,,,
bidet,a low oval basin used for washing one's genital and anal area.,,,,,,,,,,,
bight,a curve or recess in a coastline, river, or other geographical feature.,,,,,,,,,
bigot,a person who is intolerant toward those holding different opinions.,,,,,,,,,,,
bijou,a jewel or trinket.,,,,,,,,,,,
biked,ride a bicycle.,,,,,,,,,,,
biker,a motorcyclist.,,,,,,,,,,,
bikes,a bicycle.,,,,,,,,,,,
biles,bitter-tasting, greenish-yellow fluid that aids digestion and is stored in the gallbladder.,,,,,,,,,,
bilge,the area on the outer surface of a ship's hull where the bottom curves to meet the vertical sides.,,,,,,,,,,,
bills,a draft of a proposed law presented to parliament for discussion.,,,,,,,,,,,
billy,a revolving metal container in which water or other liquids are boiled, cooked, or heated.,,,,,,,,,
bimbo,(an offensive term) an attractive but unintelligent or frivolous young woman.,,,,,,,,,,,
bindi,(a decorative mark worn in the Indian subcontinent) a decorative mark worn in the middle of the forehead especially by Hindu women.,,,,,,,,,,,
binds,hold together and compress (something) tightly, especially so as to prevent movement.,,,,,,,,,,
binge,a short period devoted to indulging in an activity to excess, especially drinking alcohol or eating.,,,,,,,,,,
bingo,a game in which players mark off numbers on cards as the numbers are drawn randomly by a caller, the winner being the first person to mark off five numbers in a row or another required pattern.,,,,,,,,,,
biome,a large naturally occurring community of flora and fauna occupying a major habitat, e.g., forest or tundra.,,,,,,,,,
biota,the animal and plant life of a particular region, habitat, or geological period.,,,,,,,,,
bipod,a two-legged support typically attached to a firearm to provide stability during shooting.,,,,,,,,,,,
birch,a slender hardy tree that has thin bark and bears catkins. Native to north temperate regions, many kinds are grown ornamentally and some are valuable for their wood.,,,,,,,,,,
birds,a warm-blooded egg-laying vertebrate distinguished by the possession of feathers, wings, and a beak and (typically) by being able to fly.,,,,,,,,,
