adder,a small venomous snake,,,,,,,,No,a small venomous snake,,,,,,a small venomous snake
addle,to make (someone) unable to think clearly; confuse,,,,,,,,No,to make (someone) unable to think clearly; confuse,,,,,,to make (someone) unable to think clearly; confuse
adept,very skilled or proficient at something,,,,,,,,No,very skilled or proficient at something,,,,,,very skilled or proficient at something
adieu,a French term meaning farewell or goodbye,,,,,,,,No,a French term meaning farewell or goodbye,,,,,,a French term meaning farewell or goodbye
adios,a Spanish term meaning farewell or goodbye,,,,,,,,No,a Spanish term meaning farewell or goodbye,,,,,,a Spanish term meaning farewell or goodbye
adits,an entrance to a mine, tunnel, or cave,,,,,,No,"an entrance to a mine, tunnel, or cave",,,,,,"an entrance to a mine, tunnel, or cave"
adman,a person who works in advertising; an advertising executive,,,,,,,,No,a person who works in advertising; an advertising executive,,,,,,a person who works in advertising; an advertising executive
admin,abbreviation for administration or administrative,,,,,,,,No,abbreviation for administration or administrative,,,,,,abbreviation for administration or administrative
admit,to confess to be true or to be the case; acknowledge,,,,,,,,No,to confess to be true or to be the case; acknowledge,,,,,,to confess to be true or to be the case; acknowledge
adobe,a brick or building material made of sun-dried earth and straw.,,,,,,,,No,a brick or building material made of sun-dried earth and straw.,,,,,,a brick or building material made of sun-dried earth and straw.
adobo,a Philippine dish of meat or fish marinated in vinegar, soy sauce, garlic, and spices, then cooked until browned.,,,,No,"a Philippine dish of meat or fish marinated in vinegar, soy sauce, garlic, and spices, then cooked until browned.",,,,,,"a Philippine dish of meat or fish marinated in vinegar, soy sauce, garlic, and spices, then cooked until browned."
adopt,to take up or start to use or follow (an idea, method, or course of action).,,,,,,No,"to take up or start to use or follow (an idea, method, or course of action).",,,,,,"to take up or start to use or follow (an idea, method, or course of action)."
adore,to love and respect (someone) deeply.,,,,,,,,No,to love and respect (someone) deeply.,,,,,,to love and respect (someone) deeply.
adorn,to add beauty to; decorate.,,,,,,,,No,to add beauty to; decorate.,,,,,,to add beauty to; decorate.
adult,a person who is fully grown or developed.,,,,,,,,No,a person who is fully grown or developed.,,,,,,a person who is fully grown or developed.
adzes,a tool similar to an axe, with an arched blade at right angles to the handle, used for cutting or shaping large pieces of wood.,,,,,,No,"a tool similar to an axe, with an arched blade at right angles to the handle, used for cutting or shaping large pieces of wood.",,,,,,"a tool similar to an axe, with an arched blade at right angles to the handle, used for cutting or shaping large pieces of wood."
aegis,the protection, backing, or support of a particular person or organization.,,,,,,No,"the protection, backing, or support of a particular person or organization.",,,,,,"the protection, backing, or support of a particular person or organization."
aeons,an indefinitely long period of time; an age.,,,,,,,,No,an indefinitely long period of time; an age.,,,,,,an indefinitely long period of time; an age.
aerie,a large nest of a bird of prey, especially an eagle, typically built high in a tree or on a cliff.,,,,,,No,"a large nest of a bird of prey, especially an eagle, typically built high in a tree or on a cliff.",,,,,,"a large nest of a bird of prey, especially an eagle, typically built high in a tree or on a cliff."
affix,to attach, fasten, or stick (something) to something else.,,,,,,No,"to attach, fasten, or stick (something) to something else.",,,,,,"to attach, fasten, or stick (something) to something else."
afire,on fire; burning.,,,,,,,,No,on fire; burning.,,,,,,on fire; burning.
afoot,in preparation or progress; happening or beginning to happen.,,,,,,,,No,in preparation or progress; happening or beginning to happen.,,,,,,in preparation or progress; happening or beginning to happen.
afore,before (in time or place); in front of.,,,,,,,,No,before (in time or place); in front of.,,,,,,before (in time or place); in front of.
after,following in time or place; later than; subsequent to.,,,,,,,,No,following in time or place; later than; subsequent to.,,,,,,following in time or place; later than; subsequent to.
again,another time; once more.,,,,,,,,No,another time; once more.,,,,,,another time; once more.
agape,(of the mouth) wide open, especially with surprise or wonder.,,,,,,,No,"(of the mouth) wide open, especially with surprise or wonder.",,,,,,"(of the mouth) wide open, especially with surprise or wonder."
agate,a precious stone consisting of a hard variety of chalcedony, typically banded in appearance.,,,,,,,No,"a precious stone consisting of a hard variety of chalcedony, typically banded in appearance.",,,,,,"a precious stone consisting of a hard variety of chalcedony, typically banded in appearance."
agave,a plant native to hot, dry regions, especially the southwestern US and Mexico, that typically has a large rosette of thick, fleshy leaves.,,,,No,"a plant native to hot, dry regions, especially the southwestern US and Mexico, that typically has a large rosette of thick, fleshy leaves.",,,,,,"a plant native to hot, dry regions, especially the southwestern US and Mexico, that typically has a large rosette of thick, fleshy leaves."
agent,a person who acts on behalf of another person or group.,,,,,,,,No,a person who acts on behalf of another person or group.,,,,,,a person who acts on behalf of another person or group.
aggro,aggravation or aggression.,,,,,,,,No,aggravation or aggression.,,,,,,aggravation or aggression.
agile,able to move quickly and easily.,,,,,,,,No,able to move quickly and easily.,,,,,,able to move quickly and easily.
aging,the process of growing old or maturing.,,,,,,,,No,the process of growing old or maturing.,,,,,,the process of growing old or maturing.
aglow,lit up; glowing.,,,,,,,,No,lit up; glowing.,,,,,,lit up; glowing.
agony,extreme physical or mental suffering.,,,,,,,,No,extreme physical or mental suffering.,,,,,,extreme physical or mental suffering.
agora,a public open space used for assemblies and markets in ancient Greece.,,,,,,,,No,a public open space used for assemblies and markets in ancient Greece.,,,,,,a public open space used for assemblies and markets in ancient Greece.
agree,have the same opinion about something; concur.,,,,,,,,No,have the same opinion about something; concur.,,,,,,have the same opinion about something; concur.
ahead,in or toward the front; in advance.,,,,,,,,No,in or toward the front; in advance.,,,,,,in or toward the front; in advance.
ahold,hold onto or grasp (something).,,,,,,,,No,hold onto or grasp (something).,,,,,,hold onto or grasp (something).
aided,help, assist, or support (someone or something) in the achievement of something.,,,,,,No,"help, assist, or support (someone or something) in the achievement of something.",,,,,,"help, assist, or support (someone or something) in the achievement of something."
aider,a person who helps or assists someone.,,,,,,,,No,a person who helps or assists someone.,,,,,,a person who helps or assists someone.
aides,a person who acts as an assistant.,,,,,,,,No,a person who acts as an assistant.,,,,,,a person who acts as an assistant.
ailed,suffering from physical or mental illness.,,,,,,,,No,suffering from physical or mental illness.,,,,,,suffering from physical or mental illness.
aimed,point or direct (a weapon or camera) at a target.,,,,,,,,No,point or direct (a weapon or camera) at a target.,,,,,,point or direct (a weapon or camera) at a target.
aimer,a person who aims or directs something.,,,,,,,,No,a person who aims or directs something.,,,,,,a person who aims or directs something.
aioli,a Mediterranean sauce made of garlic and olive oil, typically served with fish and vegetables.,,,,,,,No,"a Mediterranean sauce made of garlic and olive oil, typically served with fish and vegetables.",,,,,,"a Mediterranean sauce made of garlic and olive oil, typically served with fish and vegetables."
aired,be broadcast on television or radio.,,,,,,,,No,be broadcast on television or radio.,,,,,,be broadcast on television or radio.
aisle,a passage between rows of seats in a building such as a church or theater, an aircraft, or train.,,,,,,No,"a passage between rows of seats in a building such as a church or theater, an aircraft, or train.",,,,,,"a passage between rows of seats in a building such as a church or theater, an aircraft, or train."
alarm,a sudden fear or distressing suspense caused by an awareness of danger; apprehension; fright.,,,,,,,,No,a sudden fear or distressing suspense caused by an awareness of danger; apprehension; fright.,,,,,,a sudden fear or distressing suspense caused by an awareness of danger; apprehension; fright.
album,a blank book for the insertion of photographs, stamps, or pictures.,,,,,,No,"a blank book for the insertion of photographs, stamps, or pictures.",,,,,,"a blank book for the insertion of photographs, stamps, or pictures."
alder,a tree of a genus that includes alders and hornbeams.,,,,,,,,No,a tree of a genus that includes alders and hornbeams.,,,,,,a tree of a genus that includes alders and hornbeams.
aleph,the first letter of the Hebrew alphabet.,,,,,,,,No,the first letter of the Hebrew alphabet.,,,,,,the first letter of the Hebrew alphabet.
alert,quick to notice any unusual and potentially dangerous or difficult circumstances; vigilant.,,,,,,,,No,quick to notice any unusual and potentially dangerous or difficult circumstances; vigilant.,,,,,,quick to notice any unusual and potentially dangerous or difficult circumstances; vigilant.
algae,a simple nonflowering plant of a large group that includes the seaweeds and many single-celled forms.,,,,,,,,No,a simple nonflowering plant of a large group that includes the seaweeds and many single-celled forms.,,,,,,a simple nonflowering plant of a large group that includes the seaweeds and many single-celled forms.
algal,relating to, containing, or consisting of algae.,,,,,,No,"relating to, containing, or consisting of algae.",,,,,,"relating to, containing, or consisting of algae."
alias,a false or assumed identity.,,,,,,,,No,a false or assumed identity.,,,,,,a false or assumed identity.
alibi,a claim or piece of evidence that one was elsewhere when an act, typically a criminal one, is alleged to have taken place.,,,,,,No,"a claim or piece of evidence that one was elsewhere when an act, typically a criminal one, is alleged to have taken place.",,,,,,"a claim or piece of evidence that one was elsewhere when an act, typically a criminal one, is alleged to have taken place."
alien,belonging to a foreign country or nation.,,,,,,,,No,belonging to a foreign country or nation.,,,,,,belonging to a foreign country or nation.
align,arrange in a line or bring into alignment.,,,,,,,,No,arrange in a line or bring into alignment.,,,,,,arrange in a line or bring into alignment.
alike,of similar qualities or character; similar to.,,,,,,,,No,of similar qualities or character; similar to.,,,,,,of similar qualities or character; similar to.
alive,alive.,,,,,,,,No,alive.,,,,,,alive.
alkyd,a synthetic resin used in paints and inks, especially one based on polyesters.,,,,,,,No,"a synthetic resin used in paints and inks, especially one based on polyesters.",,,,,,"a synthetic resin used in paints and inks, especially one based on polyesters."
alkyl,any of a series of univalent groups of the general formula CnH2n+1, including methyl, ethyl, propyl, and butyl.,,,,No,"any of a series of univalent groups of the general formula CnH2n+1, including methyl, ethyl, propyl, and butyl.",,,,,,"any of a series of univalent groups of the general formula CnH2n+1, including methyl, ethyl, propyl, and butyl."
allay,diminish or put at rest (fear, suspicion, or worry).,,,,,,No,"diminish or put at rest (fear, suspicion, or worry).",,,,,,"diminish or put at rest (fear, suspicion, or worry)."
alley,a narrow street or passageway, especially one through the middle of a block giving access to the rear of lots or buildings.,,,,,,,No,"a narrow street or passageway, especially one through the middle of a block giving access to the rear of lots or buildings.",,,,,,"a narrow street or passageway, especially one through the middle of a block giving access to the rear of lots or buildings."
allot,give or apportion (something) to someone as a share or task.,,,,,,,,No,give or apportion (something) to someone as a share or task.,,,,,,give or apportion (something) to someone as a share or task.
allow,permit; let.,,,,,,,,No,permit; let.,,,,,,permit; let.
alloy,a metal made by combining two or more metallic elements, especially to give greater strength or resistance to corrosion.,,,,,,,No,"a metal made by combining two or more metallic elements, especially to give greater strength or resistance to corrosion.",,,,,,"a metal made by combining two or more metallic elements, especially to give greater strength or resistance to corrosion."
allyl,a colorless volatile liquid obtained by the destructive distillation of garlic mustard and horseradish oil.,,,,,,,,No,a colorless volatile liquid obtained by the destructive distillation of garlic mustard and horseradish oil.,,,,,,a colorless volatile liquid obtained by the destructive distillation of garlic mustard and horseradish oil.
aloes,a succulent plant with spiny leaves and clusters of yellow, tubular flowers.,,,,,,,No,"a succulent plant with spiny leaves and clusters of yellow, tubular flowers.",,,,,,"a succulent plant with spiny leaves and clusters of yellow, tubular flowers."
aloft,up in or into the air; overhead.,,,,,,,,No,up in or into the air; overhead.,,,,,,up in or into the air; overhead.
aloha,a Hawaiian greeting or farewell.,,,,,,,,No,a Hawaiian greeting or farewell.,,,,,,a Hawaiian greeting or farewell.
alone,isolated or without companions.,,,,,,,,No,isolated or without companions.,,,,,,isolated or without companions.
along,in a line parallel to; by the length of.,,,,,,,,No,in a line parallel to; by the length of.,,,,,,in a line parallel to; by the length of.
aloof,not friendly or forthcoming; cool and distant.,,,,,,,,No,not friendly or forthcoming; cool and distant.,,,,,,not friendly or forthcoming; cool and distant.
aloud,audible to the ear; not silently or in a whisper.,,,,,,,,No,audible to the ear; not silently or in a whisper.,,,,,,audible to the ear; not silently or in a whisper.
alpha,the first letter of the Greek alphabet.,,,,,,,,No,the first letter of the Greek alphabet.,,,,,,the first letter of the Greek alphabet.
altar,the table in a Christian church at which the bread and wine are consecrated in communion services.,,,,,,,,No,the table in a Christian church at which the bread and wine are consecrated in communion services.,,,,,,the table in a Christian church at which the bread and wine are consecrated in communion services.
alter,change or cause to change in character or composition, typically in a comparatively small but significant way.,,,,,,,No,"change or cause to change in character or composition, typically in a comparatively small but significant way.",,,,,,"change or cause to change in character or composition, typically in a comparatively small but significant way."
altos,the highest adult male singing voice; countertenor.,,,,,,,,No,the highest adult male singing voice; countertenor.,,,,,,the highest adult male singing voice; countertenor.
alums,informal term for a graduate or former student, especially male, of a school, college, or university.,,,,No,"informal term for a graduate or former student, especially male, of a school, college, or university.",,,,,,"informal term for a graduate or former student, especially male, of a school, college, or university."
amass,gather together or accumulate (a large amount or number of material or things) over a period of time.,,,,,,,,No,gather together or accumulate (a large amount or number of material or things) over a period of time.,,,,,,gather together or accumulate (a large amount or number of material or things) over a period of time.
amaze,cause (someone) to be filled with wonder or astonishment.,,,,,,,,No,cause (someone) to be filled with wonder or astonishment.,,,,,,cause (someone) to be filled with wonder or astonishment.
amber,a hard translucent fossilized resin produced by extinct coniferous trees of the Tertiary period, typically yellowish in color.,,,,,,,No,"a hard translucent fossilized resin produced by extinct coniferous trees of the Tertiary period, typically yellowish in color.",,,,,,"a hard translucent fossilized resin produced by extinct coniferous trees of the Tertiary period, typically yellowish in color."
ambit,the scope, extent, or bounds of something.,,,,,,No,"the scope, extent, or bounds of something.",,,,,,"the scope, extent, or bounds of something."
amble,to walk or move at a slow, relaxed pace.,,,,,,,No,"to walk or move at a slow, relaxed pace.",,,,,,"to walk or move at a slow, relaxed pace."
ambos,a metallic clanging sound; a clanging sound made by a hammer.,,,,,,,,No,a metallic clanging sound; a clanging sound made by a hammer.,,,,,,a metallic clanging sound; a clanging sound made by a hammer.
amend,to make minor changes in (a text) in order to make it fairer, more accurate, or more up-to-date.,,,,,,No,"to make minor changes in (a text) in order to make it fairer, more accurate, or more up-to-date.",,,,,,"to make minor changes in (a text) in order to make it fairer, more accurate, or more up-to-date."
amide,any compound derived from ammonia by substitution of one or more hydrogen atoms with organic groups.,,,,,,,,No,any compound derived from ammonia by substitution of one or more hydrogen atoms with organic groups.,,,,,,any compound derived from ammonia by substitution of one or more hydrogen atoms with organic groups.
amine,an organic compound derived from ammonia by replacement of one or more hydrogen atoms by organic groups.,,,,,,,,No,an organic compound derived from ammonia by replacement of one or more hydrogen atoms by organic groups.,,,,,,an organic compound derived from ammonia by replacement of one or more hydrogen atoms by organic groups.
amino,relating to or containing an amino group.,,,,,,,,No,relating to or containing an amino group.,,,,,,relating to or containing an amino group.
amiss,not quite right; inappropriate or out of place.,,,,,,,,No,not quite right; inappropriate or out of place.,,,,,,not quite right; inappropriate or out of place.
amity,a friendly relationship.,,,,,,,,No,a friendly relationship.,,,,,,a friendly relationship.
amnio,short for amniocentesis.,,,,,,,,No,short for amniocentesis.,,,,,,short for amniocentesis.
among,surrounded by; in the company of.,,,,,,,,No,surrounded by; in the company of.,,,,,,surrounded by; in the company of.
amour,a secret love affair.,,,,,,,,No,a secret love affair.,,,,,,a secret love affair.
amped,excited or wired.,,,,,,,,No,excited or wired.,,,,,,excited or wired.
ample,enough or more than enough; plentiful.,,,,,,,,No,enough or more than enough; plentiful.,,,,,,enough or more than enough; plentiful.
amply,in a way that is more than adequate.,,,,,,,,No,in a way that is more than adequate.,,,,,,in a way that is more than adequate.
amuse,provide interesting and enjoyable occupation for (someone).,,,,,,,,No,provide interesting and enjoyable occupation for (someone).,,,,,,provide interesting and enjoyable occupation for (someone).
ancho,a dried and smoked poblano chili pepper.,,,,,,,,No,a dried and smoked poblano chili pepper.,,,,,,a dried and smoked poblano chili pepper.
angel,a spiritual being believed to act as an attendant, agent, or messenger of God.,,,,,,No,"a spiritual being believed to act as an attendant, agent, or messenger of God.",,,,,,"a spiritual being believed to act as an attendant, agent, or messenger of God."
anger,a strong feeling of annoyance, displeasure, or hostility.,,,,,,No,"a strong feeling of annoyance, displeasure, or hostility.",,,,,,"a strong feeling of annoyance, displeasure, or hostility."
angle,a space, figure, or shape formed by two straight lines or planes diverging from each other.,,,,,,No,"a space, figure, or shape formed by two straight lines or planes diverging from each other.",,,,,,"a space, figure, or shape formed by two straight lines or planes diverging from each other."
angry,having a strong feeling of or showing annoyance, displeasure, or hostility.,,,,,,No,"having a strong feeling of or showing annoyance, displeasure, or hostility.",,,,,,"having a strong feeling of or showing annoyance, displeasure, or hostility."
angst,a feeling of deep anxiety or dread, typically an unfocused one about the human condition or the state of the world in general.,,,,,,,No,"a feeling of deep anxiety or dread, typically an unfocused one about the human condition or the state of the world in general.",,,,,,"a feeling of deep anxiety or dread, typically an unfocused one about the human condition or the state of the world in general."
anima,the part of the psyche that is directed inward, that is, the personality that is hidden from the outside world.,,,,,,No,"the part of the psyche that is directed inward, that is, the personality that is hidden from the outside world.",,,,,,"the part of the psyche that is directed inward, that is, the personality that is hidden from the outside world."
anime,a style of Japanese film and television animation, typically aimed at adults as well as children.,,,,,,,No,"a style of Japanese film and television animation, typically aimed at adults as well as children.",,,,,,"a style of Japanese film and television animation, typically aimed at adults as well as children."
anion,a negatively charged ion, i.e., one that would be attracted to the anode in electrolysis.,,,,,,No,"a negatively charged ion, i.e., one that would be attracted to the anode in electrolysis.",,,,,,"a negatively charged ion, i.e., one that would be attracted to the anode in electrolysis."
anise,an aromatic Mediterranean plant of the parsley family, the seeds of which are used as a spice.,,,,,,,No,"an aromatic Mediterranean plant of the parsley family, the seeds of which are used as a spice.",,,,,,"an aromatic Mediterranean plant of the parsley family, the seeds of which are used as a spice."
ankle,the joint connecting the foot with the leg; the part of the leg just above the foot.,,,,,,,,No,the joint connecting the foot with the leg; the part of the leg just above the foot.,,,,,,the joint connecting the foot with the leg; the part of the leg just above the foot.
annas,an Indian money of account, formerly used in Hyderabad and elsewhere.,,,,,,,No,"an Indian money of account, formerly used in Hyderabad and elsewhere.",,,,,,"an Indian money of account, formerly used in Hyderabad and elsewhere."
annex,append or add as an extra or subordinate part, especially to a document.,,,,,,,No,"append or add as an extra or subordinate part, especially to a document.",,,,,,"append or add as an extra or subordinate part, especially to a document."
annoy,irritate (someone); make (someone) a little angry.,,,,,,,,No,irritate (someone); make (someone) a little angry.,,,,,,irritate (someone); make (someone) a little angry.
annul,declare invalid (an official agreement, decision, or result).,,,,,,No,"declare invalid (an official agreement, decision, or result).",,,,,,"declare invalid (an official agreement, decision, or result)."
anode,a positively charged electrode by which electrons leave an electrical device.,,,,,,,,No,a positively charged electrode by which electrons leave an electrical device.,,,,,,a positively charged electrode by which electrons leave an electrical device.
anole,a small tropical American lizard with the ability to change the color of its skin.,,,,,,,,No,a small tropical American lizard with the ability to change the color of its skin.,,,,,,a small tropical American lizard with the ability to change the color of its skin.
antic,playful, funny, or absurd act or gesture.,,,,,,No,"playful, funny, or absurd act or gesture.",,,,,,"playful, funny, or absurd act or gesture."
antis,opposed to; against.,,,,,,,,No,opposed to; against.,,,,,,opposed to; against.
antsy,unable to sit still or remain calm due to nervousness or excitement.,,,,,,,,No,unable to sit still or remain calm due to nervousness or excitement.,,,,,,unable to sit still or remain calm due to nervousness or excitement.
anvil,a heavy steel or iron block with a flat top, concave sides, and typically a pointed end, on which metal can be hammered and shaped.,,,,,No,"a heavy steel or iron block with a flat top, concave sides, and typically a pointed end, on which metal can be hammered and shaped.",,,,,,"a heavy steel or iron block with a flat top, concave sides, and typically a pointed end, on which metal can be hammered and shaped."
aorta,the main artery of the body, supplying oxygenated blood to the circulatory system.,,,,,,,No,"the main artery of the body, supplying oxygenated blood to the circulatory system.",,,,,,"the main artery of the body, supplying oxygenated blood to the circulatory system."
apace,swiftly; quickly.,,,,,,,,No,swiftly; quickly.,,,,,,swiftly; quickly.
apart,(of two or more people or things) separated by a distance; at a specified distance from each other in time or space.,,,,,,,,No,(of two or more people or things) separated by a distance; at a specified distance from each other in time or space.,,,,,,(of two or more people or things) separated by a distance; at a specified distance from each other in time or space.
aphid,a minute bug that feeds by sucking sap from plants and causes the leaves or other parts to be covered with honeydew and sometimes to form galls.,,,,,,,,No,a minute bug that feeds by sucking sap from plants and causes the leaves or other parts to be covered with honeydew and sometimes to form galls.,,,,,,a minute bug that feeds by sucking sap from plants and causes the leaves or other parts to be covered with honeydew and sometimes to form galls.
apnea,temporary cessation of breathing, especially during sleep.,,,,,,,No,"temporary cessation of breathing, especially during sleep.",,,,,,"temporary cessation of breathing, especially during sleep."
apple,the round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh.,,,,,,,No,"the round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh.",,,,,,"the round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh."
apply,make a formal application or request.,,,,,,,,No,make a formal application or request.,,,,,,make a formal application or request.
apron,a protective garment worn over the front of one's clothes and tied around the back, worn especially during cooking to keep clothes clean.,,,,,,,No,"a protective garment worn over the front of one's clothes and tied around the back, worn especially during cooking to keep clothes clean.",,,,,,"a protective garment worn over the front of one's clothes and tied around the back, worn especially during cooking to keep clothes clean."
apses,the more pointed of the two ends of the elliptical or occasionally circular orbit of a celestial body.,,,,,,,,No,the more pointed of the two ends of the elliptical or occasionally circular orbit of a celestial body.,,,,,,the more pointed of the two ends of the elliptical or occasionally circular orbit of a celestial body.
apter,(of a statement, idea, or proposal) appropriate or suitable in the circumstances.,,,,,,No,"(of a statement, idea, or proposal) appropriate or suitable in the circumstances.",,,,,,"(of a statement, idea, or proposal) appropriate or suitable in the circumstances."
aptly,in a manner that is appropriate or suitable in the circumstances.,,,,,,,,No,in a manner that is appropriate or suitable in the circumstances.,,,,,,in a manner that is appropriate or suitable in the circumstances.
aquas,of or relating to water.,,,,,,,,No,of or relating to water.,,,,,,of or relating to water.
arbor,a shady garden alcove with sides and a roof formed by trees or climbing plants trained over a wooden framework.,,,,,,,,No,a shady garden alcove with sides and a roof formed by trees or climbing plants trained over a wooden framework.,,,,,,a shady garden alcove with sides and a roof formed by trees or climbing plants trained over a wooden framework.
ardor,enthusiasm or passion.,,,,,,,,No,enthusiasm or passion.,,,,,,enthusiasm or passion.
areal,relating to or characteristic of an area.,,,,,,,,No,relating to or characteristic of an area.,,,,,,relating to or characteristic of an area.
areas,a region or part of a town, a country, or the world.,,,,,,No,"a region or part of a town, a country, or the world.",,,,,,"a region or part of a town, a country, or the world."
areca,a palm tree that is native to tropical Asia and widely grown as an ornamental in other tropical regions.,,,,,,,,No,a palm tree that is native to tropical Asia and widely grown as an ornamental in other tropical regions.,,,,,,a palm tree that is native to tropical Asia and widely grown as an ornamental in other tropical regions.
arena,a level area surrounded by seats for spectators, in which sports, entertainments, and other public events are held.,,,,,No,"a level area surrounded by seats for spectators, in which sports, entertainments, and other public events are held.",,,,,,"a level area surrounded by seats for spectators, in which sports, entertainments, and other public events are held."
argon,the chemical element of atomic number 18, an inert gaseous element of the noble gas group.,,,,,,,No,"the chemical element of atomic number 18, an inert gaseous element of the noble gas group.",,,,,,"the chemical element of atomic number 18, an inert gaseous element of the noble gas group."
argot,the jargon or slang of a particular group or class.,,,,,,,,No,the jargon or slang of a particular group or class.,,,,,,the jargon or slang of a particular group or class.
argue,give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view.,,,,,No,"give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view.",,,,,,"give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view."
argus,a giant with a hundred eyes, kept by Hera to guard Io.,,,,,,,No,"a giant with a hundred eyes, kept by Hera to guard Io.",,,,,,"a giant with a hundred eyes, kept by Hera to guard Io."
